P_peaks,Q_peaks,R_peaks,S_peaks,T_peaks
25,67,76,86,127
320,359,370,380,487
616,653,662,671,712
898,936,946,955,1061
1180,1221,1231,1240,1347
1465,1505,1515,1524,1631
1758,1799,1809,1818,1861
1987,2034,2044,2053,2090
2355,2392,2402,2412,2487
2656,2696,2705,2715,2822
2951,2988,2997,3006,3060
3234,3273,3282,3291,3347
3499,3550,3559,3568,3636
3811,3852,3862,3871,3978
4116,4160,4170,4179,4224
4416,4456,4465,4475,4507
4701,4754,4764,4774,4819
5009,5050,5060,5069,5173
5300,5336,5346,5355,5392
5584,5622,5633,5643,5749
5870,5909,5918,5927,6034
6162,6204,6214,6223,6261
6474,6516,6526,6536,6580
6771,6813,6823,6832,6937
7054,7096,7105,7115,7219
7342,7379,7391,7401,7435
7624,7660,7669,7679,7723
7904,7943,7953,7962,8069
8196,8234,8245,8255,8291
8489,8529,8539,8548,8655
8787,8827,8837,8846,8917
9078,9131,9141,9150,9257
9384,9421,9431,9441,9485
9662,9700,9710,9719,9759
9936,9988,9998,10007,10111
10232,10272,10282,10291,10358
10538,10580,10590,10600,10645
10847,10884,10894,10904,10951
11128,11182,11191,11200,11307
11433,11470,11480,11489,11527
11731,11770,11780,11790,11894
12015,12056,12066,12074,12112
12299,12338,12349,12359,12465
12592,12635,12644,12654,12692
12900,12939,12949,12959,13004
13212,13254,13266,13275,13319
13501,13552,13562,13571,13678
13797,13832,13841,13851,13898
14085,14121,14130,14140,14180
14378,14413,14422,14431,14491
14662,14701,14710,14719,14764
14959,15001,15011,15020,15075
15261,15300,15310,15319,15360
15558,15597,15607,15616,15656
15838,15890,15899,15908,16015
16137,16172,16183,16193,16299
16419,16454,16464,16474,16514
16703,16745,16755,16764,16833
17006,17048,17058,17067,17174
17309,17348,17358,17367,17414
17606,17646,17657,17667,17707
17896,17937,17946,17956,18062
18176,18216,18226,18236,18343
18463,18503,18513,18523,18630
18745,18784,18795,18805,18837
19029,19071,19080,19089,19142
19334,19378,19388,19397,19436
19644,19682,19693,19702,19741
19940,19979,19989,19998,20103
20208,20262,20271,20280,20383
20504,20544,20554,20563,20602
20786,20828,20837,20846,20886
21081,21121,21131,21140,21205
21375,21413,21423,21433,21471
21677,21719,21728,21737,21775
21976,22019,22029,22038,22077
22271,22311,22321,22330,22434
22555,22593,22602,22611,22716
22833,22871,22881,22889,22993
23113,23154,23163,23172,23229
23399,23443,23453,23463,23536
23702,23746,23756,23765,23805
24004,24042,24052,24062,24095
24297,24336,24345,24354,24461
24576,24616,24625,24634,24698
24866,24902,24913,24923,24963
25148,25188,25197,25206,25311
25437,25475,25485,25494,25601
25729,25769,25779,25790,25830
26034,26077,26088,26097,26143
26339,26377,26386,26396,26433
26625,26661,26670,26679,26786
26907,26942,26952,26961,27068
27191,27227,27237,27246,27287
27473,27526,27536,27545,27614
27784,27822,27833,27844,27951
28082,28121,28132,28141,28183
28382,28421,28431,28440,28484
28675,28717,28726,28735,28842
28963,29003,29014,29023,29126
29246,29284,29293,29303,29410
29534,29569,29580,29590,29633
29824,29862,29873,29883,29920
30128,30172,30182,30191,30298
30436,30477,30487,30496,30556
30730,30770,30779,30788,30895
31003,31055,31064,31074,31176
31298,31339,31348,31357,31462
31585,31625,31635,31645,31683
31878,31916,31927,31937,32044
32175,32213,32224,32233,32271
32478,32518,32529,32539,32587
32788,32826,32836,32845,32892
33079,33116,33126,33136,33240
33356,33394,33403,33412,33518
33644,33680,33691,33700,33741
33929,33968,33980,33989,34029
34220,34264,34274,34283,34333
34523,34565,34575,34584,34623
34822,34860,34870,34879,34917
35119,35158,35168,35177,35217
35406,35445,35455,35464,35529
35689,35726,35736,35745,35848
35968,36006,36016,36025,36131
36260,36298,36309,36319,36360
36553,36595,36604,36614,36677
36862,36906,36916,36925,37032
37162,37205,37215,37224,37263
37449,37490,37499,37508,37573
37732,37773,37782,37791,37898
38023,38061,38071,38080,38140
38310,38346,38356,38365,38403
38600,38640,38651,38661,38699
38903,38940,38950,38959,39066
39201,39241,39252,39261,39298
39498,39537,39547,39556,39596
39774,39815,39825,39834,39941
40046,40086,40095,40104,40210
40333,40372,40382,40391,40432
40626,40667,40677,40686,40722
40923,40960,40970,40979,41018
41220,41259,41271,41281,41320
41517,41557,41566,41575,41681
41799,41840,41849,41858,41963
42067,42107,42116,42125,42232
42369,42405,42415,42425,42465
42650,42687,42697,42707,42747
42945,42986,42996,43006,43068
43255,43297,43307,43316,43423
43554,43593,43603,43612,43716
43846,43882,43892,43902,44006
44124,44162,44171,44180,44285
44408,44445,44455,44465,44572
44693,44733,44743,44752,44856
44979,45020,45029,45039,45146
45272,45313,45323,45332,45371
45577,45617,45627,45637,45683
45875,45915,45924,45933,46038
46156,46193,46203,46212,46267
46434,46468,46478,46488,46595
46710,46750,46759,46768,46875
46986,47027,47037,47046,47112
47281,47324,47334,47343,47390
47581,47619,47631,47642,47682
47873,47909,47919,47929,47972
48153,48192,48202,48211,48318
48438,48475,48485,48494,48534
48715,48756,48765,48774,48876
48992,49030,49040,49049,49154
49271,49313,49323,49333,49401
49567,49608,49618,49627,49663
49872,49913,49923,49932,49970
50164,50204,50214,50223,50330
50433,50481,50491,50500,50607
50724,50761,50771,50780,50820
51006,51046,51055,51064,51170
51287,51328,51339,51348,51455
51573,51616,51626,51635,51742
51871,51911,51921,51930,51970
52165,52206,52215,52225,52263
52455,52496,52506,52515,52621
52735,52774,52784,52793,52896
53013,53053,53062,53071,53178
53291,53331,53340,53349,53383
53581,53621,53631,53640,53706
53871,53912,53922,53932,53970
54166,54209,54219,54228,54270
54455,54497,54507,54516,54555
54724,54774,54784,54794,54901
55015,55054,55064,55073,55180
55299,55334,55343,55352,55390
55574,55613,55624,55635,55681
55857,55897,55907,55917,55956
56153,56195,56207,56217,56253
56449,56492,56502,56511,56552
56738,56773,56784,56794,56834
57009,57045,57055,57064,57169
57287,57323,57333,57342,57386
57565,57604,57615,57624,57663
57849,57889,57900,57910,57953
58142,58181,58192,58201,58254
58438,58480,58490,58499,58539
58734,58778,58787,58797,58836
59027,59067,59077,59086,59153
59308,59345,59354,59363,59464
59584,59622,59631,59640,59685
59871,59909,59919,59928,59976
60162,60203,60214,60224,60261
60464,60503,60515,60526,60562
60765,60807,60817,60826,60862
61057,61096,61105,61114,61153
61341,61381,61391,61400,61468
61631,61670,61679,61689,61726
61917,61952,61963,61973,62016
62200,62237,62247,62257,62290
62498,62536,62547,62557,62664
62801,62841,62851,62861,62968
63103,63142,63154,63164,63207
63388,63429,63438,63447,63551
63663,63702,63711,63720,63825
63949,63988,63998,64007,64046
64241,64278,64287,64296,64341
64531,64570,64581,64591,64698
64824,64866,64875,64884,64923
65124,65165,65174,65183,65224
65417,65454,65463,65472,65535
65699,65740,65750,65759,65865
65980,66018,66030,66040,66079
66262,66297,66307,66316,66355
66553,66594,66604,66613,66704
66737,66782,66791,66801,66844
67079,67120,67130,67139,67246
67384,67422,67433,67443,67545
67680,67717,67728,67737,67844
67960,67998,68007,68017,68124
68251,68292,68302,68311,68418
68542,68584,68594,68603,68710
68822,68876,68886,68895,68941
69137,69180,69190,69200,69232
69454,69493,69503,69513,69619
69747,69786,69796,69805,69911
70013,70064,70073,70082,70144
70308,70347,70357,70366,70467
70592,70633,70642,70651,70758
70889,70931,70941,70950,70986
71191,71229,71239,71249,71283
71489,71530,71539,71548,71587
71793,71835,71845,71855,71902
72091,72128,72138,72146,72253
72370,72407,72417,72426,72533
72657,72693,72703,72713,72755
72949,72988,72998,73006,73113
73249,73291,73301,73310,73383
73558,73601,73611,73621,73728
73861,73900,73911,73921,74028
74150,74186,74195,74204,74311
74436,74473,74483,74492,74544
74718,74757,74766,74775,74882
74922,74976,74985,74995,75035
75271,75322,75332,75341,75379
75583,75623,75632,75641,75708
75883,75923,75934,75944,76051
76185,76224,76233,76242,76280
76465,76505,76515,76524,76631
76740,76776,76785,76794,76901
77010,77064,77074,77083,77190
77315,77355,77366,77376,77416
77611,77654,77663,77672,77744
77892,77944,77953,77963,78034
78203,78241,78251,78260,78305
78492,78529,78539,78548,78655
78776,78814,78824,78834,78872
79052,79090,79099,79108,79213
79335,79376,79386,79395,79433
79636,79679,79689,79698,79736
79942,79981,79991,80000,80034
80240,80280,80290,80299,80406
80537,80573,80583,80592,80630
80821,80859,80868,80877,80984
81104,81141,81152,81161,81202
81391,81428,81439,81449,81553
81680,81720,81730,81739,81781
81980,82020,82030,82040,82072
82282,82324,82335,82345,82388
82587,82627,82636,82645,82699
82879,82916,82927,82936,83041
83150,83200,83209,83218,83279
83446,83482,83492,83501,83608
83743,83784,83794,83803,83910
84052,84093,84103,84112,84152
84357,84397,84407,84416,84453
84657,84698,84709,84718,84825
84962,85000,85009,85019,85126
85252,85291,85302,85312,85357
85534,85570,85579,85589,85696
85824,85860,85870,85879,85923
86120,86161,86171,86180,86221
86429,86468,86478,86487,86557
86733,86770,86780,86789,86896
87031,87068,87079,87089,87130
87317,87354,87364,87373,87412
87600,87642,87652,87661,87765
87890,87931,87941,87950,88057
88183,88222,88231,88241,88286
88478,88520,88530,88539,88571
88782,88824,88834,88843,88882
89084,89124,89135,89145,89190
89374,89412,89421,89430,89537
89644,89694,89703,89712,89818
89939,89978,89987,89997,90035
90238,90276,90286,90295,90335
90535,90580,90589,90599,90651
90833,90874,90884,90894,90963
91137,91179,91189,91199,91238
91431,91469,91481,91490,91596
91712,91751,91761,91770,91877
91997,92036,92046,92056,92110
92287,92328,92337,92346,92453
92580,92623,92633,92643,92676
92890,92934,92944,92954,93061
93195,93236,93246,93255,93294
93487,93524,93534,93543,93584
93772,93813,93823,93833,93937
94054,94093,94102,94111,94218
94346,94383,94395,94405,94445
94642,94683,94692,94702,94738
94947,94985,94996,95006,95045
95244,95288,95298,95307,95344
95558,95596,95606,95615,95668
95846,95883,95893,95902,95940
96120,96161,96170,96179,96233
96389,96441,96450,96459,96566
96694,96734,96746,96756,96798
96995,97040,97050,97059,97096
97297,97338,97348,97357,97431
97596,97634,97644,97653,97716
97886,97925,97936,97946,97985
98180,98219,98228,98237,98277
98457,98498,98508,98517,98620
98740,98779,98789,98798,98905
99032,99073,99084,99094,99132
99327,99372,99382,99391,99498
99520,99569,99579,99588,99625
99883,99920,99930,99939,100046
100171,100207,100218,100227,100267
100447,100486,100496,100505,100612
100732,100771,100781,100790,100897
101019,101060,101070,101080,101187
101309,101349,101360,101371,101412
101604,101643,101653,101662,101709
101890,101931,101941,101950,101997
102184,102224,102234,102243,102289
102468,102507,102516,102525,102629
102745,102782,102792,102802,102842
103025,103064,103073,103083,103190
103322,103361,103371,103380,103423
103617,103659,103669,103678,103746
103910,103953,103963,103973,104011
104210,104251,104261,104270,104376
104498,104535,104545,104555,104603
104781,104820,104830,104839,104910
105058,105108,105118,105127,105171
105357,105397,105406,105416,105523
105654,105697,105707,105716,105791
105964,106005,106015,106025,106132
106265,106303,106314,106323,106429
106553,106590,106600,106610,106656
106820,106872,106882,106891,106997
107111,107149,107159,107168,107209
107403,107441,107453,107465,107510
107699,107738,107750,107761,107799
107996,108035,108045,108054,108161
108292,108332,108342,108351,108386
108597,108634,108643,108652,108757
108862,108916,108925,108934,109039
109153,109189,109199,109208,109315
109436,109476,109485,109494,109599
109723,109762,109772,109782,109825
110024,110066,110076,110086,110157
110321,110364,110374,110383,110422
110621,110663,110673,110682,110720
110912,110953,110963,110972,111075
111198,111234,111243,111252,111355
111476,111514,111524,111533,111638
111762,111800,111810,111819,111856
112052,112098,112107,112117,112157
112351,112395,112405,112414,112451
112658,112700,112710,112719,112761
112940,112990,113000,113009,113116
113233,113271,113281,113290,113397
113506,113551,113562,113571,113631
113799,113840,113849,113859,113965
114092,114131,114142,114152,114259
114377,114418,114428,114437,114490
114666,114706,114716,114725,114770
114949,114988,115000,115010,115052
115229,115270,115280,115289,115396
115500,115538,115547,115556,115661
115766,115805,115814,115823,115923
116032,116074,116083,116092,116129
116315,116359,116369,116378,116425
116602,116644,116654,116663,116696
116888,116927,116938,116949,116982
117168,117204,117213,117222,117262
117446,117484,117494,117503,117609
117720,117756,117766,117774,117814
117992,118034,118044,118052,118156
118269,118313,118323,118332,118400
118558,118597,118607,118616,118658
118855,118901,118911,118920,118960
119163,119205,119215,119224,119289
119463,119500,119509,119518,119625
119742,119781,119791,119800,119907
120028,120067,120077,120085,120192
120324,120366,120375,120385,120457
120624,120666,120676,120685,120720
120935,120979,120990,121000,121107
121245,121287,121300,121309,121370
121554,121594,121604,121614,121652
121838,121879,121889,121898,122004
122123,122160,122170,122179,122222
122408,122449,122460,122470,122539
122697,122741,122750,122759,122796
122997,123040,123050,123059,123098
123311,123350,123359,123369,123439
123611,123654,123663,123672,123779
123887,123926,123936,123945,124049
124168,124210,124221,124230,124337
124454,124497,124507,124516,124558
124726,124766,124775,124784,124824
125003,125050,125059,125069,125139
125303,125344,125354,125364,125436
125594,125639,125648,125657,125689
125875,125916,125925,125934,125973
126152,126194,126203,126212,126319
126424,126466,126476,126485,126589
126692,126737,126746,126755,126828
126971,127015,127024,127034,127108
127252,127304,127313,127322,127384
127552,127593,127603,127612,127647
127841,127881,127892,127902,128009
128019,128073,128085,128095,128202
128371,128413,128422,128432,128479
128649,128688,128698,128707,128750
128908,128948,128958,128967,129028
129177,129218,129230,129240,129295
129469,129509,129519,129529,129595
129742,129788,129798,129807,129913
130003,130046,130057,130066,130134
130268,130308,130318,130327,130434
130519,130558,130568,130577,130677
130768,130807,130818,130827,130886
131024,131063,131073,131082,131189
131275,131316,131326,131335,131372
131532,131575,131584,131593,131697
131797,131838,131851,131863,131907
132068,132112,132122,132131,132183
132328,132370,132380,132389,132429
132580,132619,132629,132638,132741
132832,132873,132882,132891,132994
133084,133122,133132,133140,133179
133339,133380,133389,133398,133503
133606,133652,133662,133672,133779
133881,133923,133933,133942,133982
134144,134187,134197,134206,134310
134413,134454,134463,134472,134509
134685,134727,134737,134746,134846
134940,134980,134989,134998,135035
135194,135234,135243,135252,135297
135455,135495,135504,135514,135621
135731,135770,135780,135789,135896
136010,136051,136061,136070,136177
136296,136340,136350,136359,136466
136581,136620,136630,136640,136744
136850,136890,136899,136908,136947
137124,137161,137170,137180,137287
137399,137439,137448,137457,137564
137679,137718,137728,137738,137841
137956,137998,138008,138017,138058
138251,138294,138304,138313,138418
138543,138587,138598,138609,138642
138836,138878,138888,138897,139003
139117,139154,139163,139172,139213
139393,139430,139440,139449,139552
139669,139710,139719,139728,139834
139958,140000,140009,140018,140125
140249,140291,140302,140313,140418
140543,140589,140599,140608,140711
140828,140872,140881,140890,140995
141100,141142,141152,141161,141266
141372,141413,141423,141432,141470
141636,141673,141684,141694,141729
141892,141933,141942,141951,142006
142155,142197,142207,142216,142278
142425,142469,142479,142488,142526
142695,142737,142746,142755,142862
142962,143000,143010,143019,143125
143215,143255,143264,143273,143376
143467,143505,143514,143523,143623
143713,143756,143766,143775,143881
143973,144015,144025,144034,144139
144234,144276,144285,144295,144400
144507,144548,144557,144566,144604
144779,144822,144832,144841,144879
145061,145102,145111,145120,145188
145331,145372,145381,145390,145497
145598,145637,145647,145656,145753
145857,145893,145902,145911,145973
146121,146160,146170,146178,146285
146393,146435,146445,146454,146523
146681,146726,146737,146746,146785
146959,147003,147012,147022,147059
147237,147280,147290,147299,147338
147515,147555,147565,147574,147680
147785,147823,147832,147841,147948
148049,148089,148099,148108,148208
148312,148352,148363,148374,148478
148584,148627,148637,148647,148754
148859,148906,148916,148925,148968
149149,149193,149204,149214,149253
149440,149478,149488,149497,149604
149717,149759,149768,149777,149877
149979,150020,150030,150038,150081
150248,150292,150303,150312,150417
150524,150566,150575,150584,150691
150798,150839,150849,150858,150964
151071,151112,151122,151131,151173
151358,151397,151407,151416,151523
151646,151689,151700,151710,151748
151920,151964,151974,151983,152023
152187,152227,152237,152246,152353
152462,152501,152510,152519,152624
152732,152771,152781,152790,152828
153013,153057,153067,153076,153116
153306,153352,153362,153371,153478
153593,153634,153644,153653,153760
153867,153912,153922,153931,154036
154142,154183,154192,154202,154306
154422,154460,154470,154479,154586
154693,154732,154741,154750,154857
154957,154999,155009,155017,155053
155236,155280,155291,155300,155358
155536,155577,155588,155597,155704
155812,155854,155864,155874,155906
156081,156122,156132,156141,156248
156348,156385,156394,156403,156510
156600,156638,156647,156656,156755
156854,156896,156905,156914,157017
157118,157158,157168,157177,157214
157376,157419,157430,157440,157547
157641,157685,157695,157704,157744
157905,157950,157959,157968,158073
158180,158221,158233,158243,158343
158437,158478,158489,158498,158552
158680,158720,158729,158738,158842
158925,158964,158974,158983,159090
159178,159215,159225,159234,159275
159426,159469,159479,159488,159592
159685,159727,159737,159747,159854
159947,159991,160001,160010,160117
160210,160249,160260,160269,160305
160454,160497,160506,160515,160621
160705,160744,160755,160764,160869
160955,160995,161004,161013,161116
161205,161244,161254,161263,161360
161449,161487,161499,161509,161549
161709,161755,161764,161773,161874
161978,162025,162035,162044,162151
162256,162298,162308,162318,162358
162522,162563,162573,162582,162683
162786,162826,162835,162844,162881
163042,163083,163092,163101,163206
163314,163352,163362,163372,163475
163578,163619,163629,163638,163745
163848,163889,163899,163908,164015
164127,164172,164181,164191,164253
164411,164451,164461,164470,164574
164678,164721,164731,164740,164842
164941,164982,164991,165000,165105
165195,165236,165246,165255,165354
165449,165488,165499,165508,165604
165702,165747,165756,165765,165872
165979,166020,166032,166042,166144
166250,166291,166301,166310,166354
166518,166560,166570,166579,166686
166789,166832,166841,166850,166907
167061,167101,167111,167120,167167
167323,167361,167370,167379,167482
167588,167632,167641,167650,167693
167862,167902,167912,167921,168025
168139,168181,168190,168199,168247
168433,168474,168484,168494,168528
168733,168773,168784,168794,168828
169022,169064,169073,169082,169181
169300,169340,169349,169358,169462
169579,169618,169629,169638,169735
169856,169896,169907,169918,170019
170146,170191,170201,170210,170316
170440,170482,170494,170504,170607
170663,170709,170719,170728,170831
171022,171064,171074,171083,171149
171324,171360,171371,171381,171481
171602,171640,171651,171661,171759
171873,171911,171920,171929,172030
172150,172190,172199,172208,172309
172431,172471,172481,172491,172525
172722,172766,172776,172785,172852
173013,173057,173067,173076,173183
173303,173340,173351,173361,173413
173580,173618,173629,173639,173746
173847,173897,173906,173915,174015
174127,174166,174175,174184,174290
174399,174441,174451,174461,174508
174683,174727,174737,174746,174813
174969,175013,175023,175032,175073
175270,175313,175322,175331,175438
175557,175598,175608,175617,175718
175830,175867,175877,175886,175952
176095,176135,176145,176154,176260
176376,176417,176427,176436,176541
176648,176687,176698,176709,176747
176926,176964,176975,176984,177027
177199,177238,177248,177258,177304
177476,177513,177523,177532,177571
177746,177786,177797,177806,177849
178012,178049,178059,178070,178170
178267,178306,178316,178325,178429
178529,178567,178577,178587,178633
178790,178831,178841,178850,178955
179068,179107,179117,179126,179168
179339,179377,179387,179397,179504
179610,179652,179662,179671,179708
179878,179917,179926,179935,180042
180133,180173,180182,180191,180293
180396,180433,180443,180453,180556
180657,180695,180705,180714,180753
180911,180954,180964,180973,181080
181183,181226,181236,181245,181352
181472,181513,181523,181532,181587
181760,181801,181811,181820,181925
182035,182075,182084,182093,182197
182304,182342,182353,182364,182412
182577,182614,182624,182633,182736
182845,182885,182896,182906,182942
183126,183171,183181,183190,183297
183421,183465,183475,183484,183591
183727,183767,183778,183788,183827
184019,184059,184071,184081,184136
184312,184351,184361,184370,184409
184600,184640,184649,184658,184756
184885,184924,184933,184942,185049
185161,185203,185213,185222,185326
185459,185500,185510,185519,185569
185773,185818,185828,185838,185878
186083,186127,186137,186147,186254
186378,186418,186427,186436,186497
186666,186707,186717,186726,186832
186945,186993,187004,187014,187117
187245,187281,187291,187299,187405
187526,187565,187577,187587,187694
187825,187862,187871,187881,187988
188127,188168,188179,188188,188222
188427,188471,188480,188490,188592
188713,188753,188763,188772,188875
188997,189033,189043,189052,189157
189280,189320,189330,189339,189408
189564,189615,189624,189633,189697
189878,189919,189929,189938,190001
190180,190218,190228,190237,190276
190478,190519,190529,190537,190644
190772,190811,190820,190829,190934
191065,191103,191112,191121,191226
191346,191384,191395,191405,191452
191613,191663,191673,191683,191790
191923,191967,191977,191986,192034
192228,192271,192281,192290,192324
192513,192565,192575,192584,192643
192813,192853,192862,192871,192976
193099,193137,193146,193155,193203
193362,193413,193423,193432,193483
193655,193693,193702,193711,193775
193943,193984,193994,194003,194043
194230,194271,194280,194289,194364
194510,194564,194574,194584,194632
194819,194857,194868,194878,194983
195108,195145,195155,195165,195205
195377,195415,195426,195436,195475
195653,195691,195701,195709,195813
195927,195968,195978,195987,196094
196215,196258,196268,196278,196324
196507,196550,196560,196569,196616
196782,196836,196847,196856,196905
197081,197121,197132,197141,197198
197368,197405,197414,197423,197465
197640,197675,197684,197693,197794
197900,197940,197949,197958,198064
198173,198214,198224,198234,198282
198452,198494,198504,198513,198559
198738,198781,198791,198801,198847
199023,199066,199075,199084,199134
199306,199343,199353,199362,199466
199570,199609,199619,199628,199668
199843,199884,199894,199903,200008
200111,200149,200161,200171,200274
200387,200423,200434,200444,200489
200658,200702,200714,200724,200762
200941,200982,200992,201002,201108
201222,201261,201271,201280,201343
201493,201535,201545,201554,201597
201755,201797,201806,201815,201853
202016,202057,202067,202076,202179
202290,202329,202339,202348,202386
202562,202602,202614,202624,202659
202842,202886,202896,202905,202938
203127,203172,203182,203191,203236
203414,203458,203468,203477,203584
203688,203731,203741,203750,203793
203968,204011,204021,204030,204137
204248,204290,204299,204308,204415
204523,204563,204574,204584,204638
204799,204844,204854,204863,204911
205103,205148,205158,205167,205274
205402,205448,205458,205468,205573
205685,205727,205737,205746,205783
205968,206006,206016,206026,206133
206239,206279,206288,206297,206357
206518,206557,206567,206576,206683
206793,206833,206844,206854,206954
207075,207120,207129,207138,207180
207365,207411,207421,207430,207500
207671,207713,207724,207734,207779
207956,207995,208004,208013,208117
208228,208268,208277,208286,208335
208498,208539,208548,208557,208622
208771,208812,208822,208831,208937
209046,209090,209100,209109,209215
209338,209383,209392,209401,209505
209629,209674,209683,209692,209799
209921,209963,209973,209982,210026
210205,210245,210255,210265,210298
210483,210523,210533,210542,210646
210760,210799,210809,210818,210921
211035,211074,211085,211094,211196
211312,211355,211364,211373,211419
211601,211644,211654,211663,211731
211896,211941,211951,211960,212067
212176,212218,212228,212237,212344
212452,212492,212501,212511,212612
212727,212768,212777,212786,212893
213007,213048,213058,213067,213167
213274,213316,213326,213335,213376
213553,213597,213606,213615,213653
213841,213884,213894,213903,213943
214125,214171,214181,214190,214296
214413,214455,214465,214474,214581
214687,214728,214737,214746,214786
214959,214995,215005,215014,215121
215231,215270,215280,215290,215396
215508,215553,215563,215572,215608
215795,215840,215850,215859,215900
216088,216131,216140,216150,216257
216378,216421,216431,216440,216547
216658,216700,216709,216718,216759
216940,216980,216990,216999,217104
217219,217259,217268,217277,217381
217499,217537,217547,217556,217658
217773,217813,217824,217833,217872
218066,218112,218122,218131,218238
218364,218405,218416,218427,218469
218654,218692,218703,218713,218817
218923,218963,218972,218981,219087
219198,219237,219246,219255,219358
219480,219517,219529,219540,219580
219762,219803,219813,219822,219874
220044,220088,220098,220107,220212
220342,220381,220391,220400,220507
220640,220680,220691,220701,220738
220927,220967,220977,220986,221092
221206,221243,221252,221261,221322
221475,221517,221527,221536,221641
221756,221794,221803,221812,221916
222028,222071,222081,222090,222124
222321,222365,222375,222384,222451
222614,222656,222666,222675,222740
222901,222941,222951,222960,223001
223175,223218,223227,223237,223281
223460,223497,223507,223516,223623
223733,223774,223783,223792,223893
223996,224037,224047,224055,224098
224274,224317,224328,224338,224445
224564,224611,224621,224630,224697
224862,224905,224915,224924,224970
225143,225185,225195,225204,225311
